Book 1,Book 2,Book 3,Facet,Language,Group,Selection,Answer Nr.,Nr. Known Books,Time,Participant ID
04,05,07,location,ger,1,05==07,3,8,264,426
04,05,07,location,ger,1,05==07,3,8,396,443
04,05,07,location,ger,2,05==07,3,5,281,326
04,05,07,location,ger,2,05==07,3,9,341,354
04,05,07,location,ger,2,05==07,3,13,346,398
04,05,07,location,ger,2,04==05,1,11,406,442
04,05,07,plot,eng,1,05==07,3,8,558,309
04,05,07,plot,eng,1,05==07,3,7,429,355
04,05,07,plot,eng,1,05==07,3,9,427,417
04,05,07,plot,eng,2,05==07,3,10,366,336
04,05,07,plot,ger,1,05==07,3,7,567,284
04,05,07,plot,ger,1,05==07,3,10,281,327
04,05,07,plot,ger,1,05==07,3,8,264,426
04,05,07,plot,ger,1,04==05,1,8,396,443
04,05,07,plot,ger,2,05==07,3,5,281,326
04,05,07,plot,ger,2,05==07,3,9,341,354
04,05,07,plot,ger,2,05==07,3,13,346,398
04,05,07,plot,ger,2,05==07,3,11,406,442
04,05,07,time,eng,1,05==07,3,8,558,309
04,05,07,time,eng,1,05==07,3,7,429,355
04,05,07,time,eng,1,04==05,1,9,427,417
04,05,07,time,eng,2,05==07,3,10,366,336
04,05,07,time,ger,1,05==07,3,7,567,284
04,05,07,time,ger,1,05==07,3,10,281,327
04,05,07,time,ger,1,05==07,3,8,264,426
04,05,07,time,ger,1,05==07,3,8,396,443
04,05,07,time,ger,2,05==07,3,9,341,354
04,05,07,time,ger,2,05==07,3,13,346,398
04,05,07,time,ger,2,05==07,3,11,406,442
04,05,07,total,eng,1,05==07,3,8,558,309
04,05,07,total,eng,1,05==07,3,7,429,355
04,05,07,total,eng,1,skip,-1,9,427,417
04,05,07,total,eng,2,05==07,3,10,366,336
04,05,07,total,ger,1,05==07,3,7,567,284
04,05,07,total,ger,1,skip,-1,10,281,327
04,05,07,total,ger,1,05==07,3,8,462,333
04,05,07,total,ger,1,05==07,3,8,231,391
04,05,07,total,ger,1,05==07,3,8,264,426
04,05,07,total,ger,1,05==07,3,8,396,443
04,05,07,total,ger,2,05==07,3,5,281,326
04,05,07,total,ger,2,05==07,3,9,341,354
04,05,07,total,ger,2,05==07,3,13,346,398
04,05,07,total,ger,2,05==07,3,11,406,442
04,05,09,atmosphere,eng,1,05==09,3,8,558,309
04,05,09,atmosphere,eng,1,05==09,3,7,429,355
04,05,09,atmosphere,eng,1,05==09,3,9,427,417
04,05,09,atmosphere,ger,1,04==05,1,7,567,284
04,05,09,atmosphere,ger,1,05==09,3,10,281,327
04,05,09,atmosphere,ger,1,04==09,2,8,264,426
04,05,09,atmosphere,ger,2,05==09,3,6,473,277
04,05,09,atmosphere,ger,2,05==09,3,8,314,278
04,05,09,atmosphere,ger,2,04==09,2,13,368,286
04,05,09,atmosphere,ger,2,05==09,3,9,341,354
04,05,09,atmosphere,ger,2,04==09,2,15,326,394
04,05,09,atmosphere,ger,2,05==09,3,10,410,437
04,05,09,atmosphere,ger,2,04==09,2,11,406,442
04,05,09,content,eng,1,05==09,3,8,558,309
04,05,09,content,eng,1,05==09,3,7,429,355
04,05,09,content,eng,1,04==09,2,9,427,417
04,05,09,content,ger,1,05==09,3,7,567,284
